ts,agent_id,x,y,z,v
99174,0,-75.0994644165039,-15.66334056854248,0.03346652910113335,0.0
99175,0,-75.0994644165039,-15.66334056854248,0.03346652910113335,0.0
99176,0,-75.0994644165039,-15.663339614868164,0.03326354920864105,2.755483835957728e-07
99177,0,-75.0994644165039,-15.663339614868164,0.03315231204032898,4.705537372133479e-07
99178,0,-75.0994644165039,-15.663339614868164,0.03310367465019226,3.694626465163385e-07
99179,0,-75.0994644165039,-15.663339614868164,0.03309657797217369,3.2470697031608985e-07
99180,0,-75.0994644165039,-15.663339614868164,0.03311588242650032,3.4267073011554253e-07
99181,0,-75.0994644165039,-15.663339614868164,0.033151090145111084,3.16168011496149e-07
99182,0,-75.0994644165039,-15.663339614868164,0.03319476917386055,2.670813842969847e-07
99183,0,-75.0994644165039,-15.663339614868164,0.03324199467897415,3.1313814673109913e-07
99184,0,-75.0994644165039,-15.663339614868164,0.033289335668087006,2.403941463057423e-07
99185,0,-75.0994644165039,-15.663339614868164,0.0333348847925663,2.0492949809622e-07
99186,0,-75.0994644165039,-15.663339614868164,0.03337718918919563,2.1395623568325888e-07
99187,0,-75.0994644165039,-15.663339614868164,0.033415716141462326,1.9506007315977868e-07
99188,0,-75.0994644165039,-15.663339614868164,0.033450279384851456,1.5548853786958344e-07
99189,0,-75.0994644165039,-15.663339614868164,0.033480796962976456,6.966951443487986e-08
99190,0,-75.0994644165039,-15.663339614868164,0.03350742161273956,1.3990667175547145e-07
99191,0,-75.0994644165039,-15.663339614868164,0.03353054076433182,6.548324481959901e-08
99192,0,-75.0994644165039,-15.663339614868164,0.03353054076433182,0.0
99193,0,-75.0994644165039,-15.663339614868164,0.033547285944223404,9.548911243785194e-08
99194,0,-75.0994644165039,-15.663339614868164,0.033555906265974045,4.525819961625454e-08
99195,0,-75.0994644165039,-15.663339614868164,0.033565595746040344,8.780648740464787e-08
99196,0,-75.0994644165039,-15.663339614868164,0.03357559069991112,6.450855488822143e-08
99197,0,-75.0994644165039,-15.663339614868164,0.03358524292707443,8.33440544567375e-08
99198,0,-75.0994644165039,-15.663339614868164,0.033594321459531784,7.837591304122364e-08
99199,0,-75.0994644165039,-15.663339614868164,0.033602677285671234,2.4556283813054898e-08
99200,0,-75.0994644165039,-15.663339614868164,0.03361015394330025,4.312013385658768e-08
99201,0,-75.0994644165039,-15.663339614868164,0.03361678868532181,4.8793856370693865e-08
99202,0,-75.0994644165039,-15.663339614868164,0.0336226262152195,1.0344471680425467e-07
99203,0,-75.0994644165039,-15.663339614868164,0.033627700060606,4.158030627113917e-08
99204,0,-75.0994644165039,-15.663339614868164,0.03363204747438431,3.4190305604349423e-08
99205,0,-75.0994644165039,-15.663339614868164,0.03363582491874695,5.1627286041112354e-08
99206,0,-75.0994644165039,-15.663339614868164,0.033639028668403625,1.1313663972754667e-07
99207,0,-75.0994644165039,-15.663339614868164,0.03364173695445061,1.3568287669837995e-07
